Period No.;Period Name ;Section Type;Section Title ;Industry Partner / Exercises;Estimated Runtime - min;Estimated Time of completion ;Comments ;
9;Energy Storage ;Introduction video ;Introduction to this section ;;00:02:00;;;
;Energy Storage ;Lecture video;How to store energy generate by PV modules ;IP battery storage;00:05:00;;Use MaxxSolar M5 - 02 ;
;Energy Storage ;Placeholder - Diverse Tasks ; Proposal - Lex Solar exercise: Components of a solar off-grid system,Possible operating conditions of an off-grid system  or IP on battery storage;;00:20:00;;;
;Energy Storage ;Quiz ;Quiz 9.1;;00:02:00;;;
;Energy Storage ;Lecture video;Energy Balance - why is needed?;;00:05:00;;Use MaxxSolar M5 - 03;
;Energy Storage ;Quiz ;Quiz 9.2;;00:02:00;;;
;Energy Storage ;Lecture video - Types of energy storage applicable to solar PV;TBD;;00:05:00;;;
;Energy Storage ;Quiz ;Quiz 9.3;;00:02:00;;;
;Energy Storage ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
10;Solar System Components and Functions ;Introduction video ;Introduction to this section;Dependence of solar cell power on its area;00:02:00;;;
;Solar System Components and Functions ;Lecture video;PV Module Characteristics ;Dependence of solar cell power on angle of incidence of light;00:05:00;;Use MaxxSolar M6 - 02 and M6 - 03;
;Solar System Components and Functions ;Quiz ;Quiz 10.1 ;Series and parallel connection of solar cells (phenomenological);00:02:00;;;
;Solar System Components and Functions ;Placeholder - diverse tasks ;Proposed exercises Lex Solar - Dependence of solar cell power on its area, Dependence of solar cell power on angle of incidence of light, ;;00:20:00;;;
;Solar System Components and Functions ;Lecture video;Solar system Batteries ;;00:05:00;;Use MaxxSolar M6 - 04;
;Solar System Components and Functions ;Quiz ;Quiz 10.2;;00:02:00;;;
;Solar System Components and Functions ;Lecture video;Inverters and Charge controllers ;IP ?  Charge controller connection to power dc load ;00:05:00;;Use MaxxSolar M6 - 05 and M6 - 06;
;Solar System Components and Functions ;Quiz ;Quiz 10.3;;00:02:00;;;
;Solar System Components and Functions ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
11;Solar System Configurations ;Introduction video ;Introduction to the section;;00:02:00;;;
;Solar System Configurations ;Lecture video;PV on-grid configurations and storage ;Components of a solar off-grid system;00:05:00;;Use MaxxSolar M7 - 01 and M7 - 02 ;
;Solar System Configurations ;Quiz ;Quiz 11.1 ;Possible operating conditions of an off-grid system;00:02:00;;;
;Solar System Configurations ;Placeholder - diverse tasks ;IP: SustainGroup South Africa;;00:20:00;;;
